index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
2477,Bolivia,Brazil,1,1,1,166,200,1,3,3,Lose
2478,Cambodia,Uzbekistan,0.85,0.85,0.85,50,109,1,4,2.5,Lose
2479,El Salvador,USA,0.85,0.85,0.85,127,174,1,1,2.5,Draw
2480,Jamaica,Cuba,0.85,0.85,0.85,163,104,3,0,1,Win
2481,Kazakhstan,Iraq,0.99,0.85,0.92,64,125,3,1,2.5,Win
2482,Barbados,Trinidad and Tobago,0.85,1,0.925,88,135,1,1,1,Draw
2483,Jamaica,Grenada,0.85,0.85,0.85,163,81,1,1,1,Draw
2484,Chile,Colombia,1,1,1,173,187,4,1,2.5,Win
2485,Tanzania,Zambia,0.85,0.85,0.85,100,182,2,2,1,Draw
2486,Tunisia,Mali,0.85,0.85,0.85,172,128,1,0,1,Win
2487,Antigua and Barbuda,Grenada,0.85,0.85,0.85,50,81,1,3,1,Lose
2488,Australia,New Zealand,0.85,0.85,0.85,167,82,2,0,2.5,Win
2489,Malawi,Botswana,0.85,0.85,0.85,116,50,0,0,1,Draw
2490,Paraguay,Argentina,1,1,1,176,184,1,2,2.5,Lose
2491,Peru,Bolivia,1,1,1,161,166,2,1,2.5,Win
2492,Venezuela,Ecuador,1,1,1,89,162,1,1,2.5,Draw
2493,Antigua and Barbuda,Jamaica,0.85,0.85,0.85,50,163,0,2,1,Lose
2494,St. Kitts and Nevis,Trinidad and Tobago,0.85,1,0.925,67,135,0,3,1,Lose
2495,Lithuania,Estonia,0.99,0.99,0.99,151,101,2,1,1,Win
2496,Estonia,Latvia,0.99,0.99,0.99,101,126,1,2,1,Lose
2497,St. Kitts and Nevis,Grenada,0.85,0.85,0.85,67,81,2,1,1,Win
2498,Trinidad and Tobago,Jamaica,1,0.85,0.925,135,163,1,1,1,Win
2499,Lithuania,Latvia,0.99,0.99,0.99,151,126,1,0,1,Win
2500,Benin,Côte d'Ivoire,0.85,0.85,0.85,70,148,0,0,2.5,Draw
2501,Egypt,Senegal,0.85,0.85,0.85,158,130,2,0,2.5,Win
2502,Ethiopia,Morocco,0.85,0.85,0.85,83,186,0,1,2.5,Lose
2503,Gabon,Kenya,0.85,0.85,0.85,136,97,1,0,2.5,Win
2504,Ghana,Zimbabwe,0.85,0.85,0.85,164,138,2,1,2.5,Win
2505,Jamaica,Grenada,0.85,0.85,0.85,163,81,4,1,1,Win
2506,Mauritius,Mozambique,0.85,0.85,0.85,52,118,1,3,2.5,Lose
2507,Togo,Liberia,0.85,0.85,0.85,123,105,4,0,2.5,Win
2508,Trinidad and Tobago,St. Kitts and Nevis,1,0.85,0.925,135,67,4,0,1,Win
2509,Tunisia,Guinea,0.85,0.85,0.85,172,141,1,0,2.5,Win
2510,Argentina,Venezuela,1,1,1,187,94,2,0,2.5,Win
